NAME 30dBi_uWave
MAKE
FREQUENCY 1920
GAIN 30.0 dBi
TILT MECHANICAL
COMMENT "squeezed" Andrew PXL10-18
HORIZONTAL 26
0.0 0.0
1.0 2.7
2.0 5.2
3.0 23.0
7.0 22.0
15.0 23.0
20.0 30.0
30.0 32.0
40.0 33.0
100.0 41.0
110.0 45.0
130.0 45.0
140.0 45.0
180.0 45.0
220.0 45.0
230.0 45.0
250.0 45.0
260.0 41.0
320.0 33.0
330.0 32.0
340.0 30.0
345.0 23.0
352.0 22.0
356.0 23.0
358.0 2.7
359.0 0.4
VERTICAL 22
-90.0 41
-40.0 33.0
-30.0 32.0
-20.0 30.0
-15 23.0
-7.5 22.0
-3.5 23.0
-2.0 5.2
-1.5 2.7
-1.0 1.2
-0.5 0.4
0.0 0.0
0.5 0.4
1.0 1.2
1.5 2.7
2.0 5.2
3.5 23.0
7.5 22.0
15.0 23.0
20.0 30.0
30.0 32.0
40.0 33.0
90.0 41.0
